Date,Open,High,Low,Close,Volume
2016-03-24,732.01,737.75,731,735.3,1564782
2016-03-23,742.36,745.72,736.15,738.06,1421861
2016-03-22,737.46,745,737.46,740.75,1264396
2016-03-21,736.5,742.5,733.52,742.09,1831839
2016-03-18,741.86,742,731.83,737.6,2796376
2016-03-17,736.45,743.07,736,737.78,1856800
2016-03-16,726.37,737.47,724.51,736.09,1572329
2016-03-15,726.92,732.29,724.77,728.33,1720965
2016-03-14,726.81,735.5,725.15,730.49,1716910
2016-03-11,720,726.92,717.12,726.82,1963907
2016-03-10,708.12,716.44,703.36,712.82,2829412
2016-03-09,698.47,705.68,694,705.24,1418704
2016-03-08,688.59,703.79,685.34,693.97,2063357
2016-03-07,706.9,708.09,686.9,695.16,2985094
2016-03-04,714.99,716.49,706.02,710.89,1967873
2016-03-03,718.68,719.45,706.02,712.42,1956761
2016-03-02,719,720,712,718.85,1627753
2016-03-01,703.62,718.81,699.77,718.81,2147442
2016-02-29,700.32,710.89,697.68,697.77,2280280
2016-02-26,708.58,713.43,700.86,705.07,2239978
2016-02-25,700.01,705.98,690.58,705.75,1631855
2016-02-24,688.92,700,680.78,699.56,1958611
2016-02-23,701.45,708.4,693.58,695.85,1999699
2016-02-22,707.45,713.24,702.51,706.46,1946067
2016-02-19,695.03,703.08,694.05,700.91,1582260
2016-02-18,710,712.35,696.03,697.35,1859130
2016-02-17,699,709.75,691.38,708.4,2466808
2016-02-16,692.98,698,685.05,691,2497024
2016-02-12,690.26,693.75,678.6,682.4,2129831
2016-02-11,675,689.35,668.87,683.11,3007223
2016-02-10,686.86,701.31,682.13,684.12,2627379
2016-02-09,672.32,699.9,668.77,678.11,3604335
2016-02-08,667.85,684.03,663.06,682.74,4212541
2016-02-05,703.87,703.99,680.15,683.57,5069985
2016-02-04,722.81,727,701.86,708.01,5145855
2016-02-03,770.22,774.5,720.5,726.95,6162333
2016-02-02,784.5,789.87,764.65,764.65,6332431
2016-02-01,750.46,757.86,743.27,752,4801816
2016-01-29,731.53,744.99,726.8,742.95,3394935
2016-01-28,722.22,733.69,712.35,730.96,2658016
2016-01-27,713.67,718.24,694.39,699.99,2139970
2016-01-26,713.85,718.28,706.48,713.04,1324300
2016-01-25,723.58,729.68,710.01,711.67,1704641
2016-01-22,723.6,728.13,720.12,725.25,2006528
2016-01-21,702.18,719.19,694.46,706.59,2410263
2016-01-20,688.61,706.85,673.26,698.45,3439386
2016-01-19,703.3,709.98,693.41,701.79,2258479
2016-01-15,692.29,706.74,685.37,694.45,3592449
2016-01-14,705.38,721.92,689.1,714.72,2211853
2016-01-13,730.85,734.74,698.61,700.56,2468295
2016-01-12,721.68,728.75,717.32,726.07,2024509
2016-01-11,716.61,718.86,703.54,716.03,2090621
2016-01-08,731.45,733.23,713,714.47,2450857
2016-01-07,730.31,738.5,719.06,726.39,2963741
2016-01-06,730,747.18,728.92,743.62,1947034
2016-01-05,746.45,752,738.64,742.58,1950691
2016-01-04,743,744.06,731.26,741.84,3258199
2015-12-31,769.5,769.5,758.34,758.88,1500923
2015-12-30,776.6,777.6,766.9,771,1293521
2015-12-29,766.69,779.98,766.43,776.6,1765012
2015-12-28,752.92,762.99,749.52,762.51,1515716
2015-12-24,749.55,751.35,746.62,748.4,527223
2015-12-23,753.47,754.21,744,750.31,1566726
2015-12-22,751.65,754.85,745.53,750,1365520
2015-12-21,746.13,750,740,747.77,1525703
2015-12-18,746.51,754.13,738.15,739.31,3148743
2015-12-17,762.42,762.68,749,749.43,1553418
2015-12-16,750,760.59,739.44,758.09,1993251
2015-12-15,753,758.08,743.01,743.4,2666229
2015-12-14,741.79,748.73,724.17,747.77,2412497
2015-12-11,741.16,745.71,736.75,738.87,2224410
2015-12-10,752.85,755.85,743.83,749.46,1988380
2015-12-09,759.17,764.23,737,751.61,2699990
2015-12-08,757.89,764.8,754.2,762.37,1829475
2015-12-07,767.77,768.73,755.09,763.25,1812314
2015-12-04,753.1,768.49,750,766.81,2757283
2015-12-03,766.01,769,745.63,752.54,2590641
2015-12-02,768.9,775.96,758.96,762.38,2230373
2015-12-01,747.11,768.95,746.7,767.04,2134621
2015-11-30,748.81,754.93,741.27,742.6,2097624
2015-11-27,748.46,753.41,747.49,750.26,838528
2015-11-25,748.14,752,746.06,748.15,1122224
2015-11-24,752,755.28,737.63,748.28,2334197
2015-11-23,757.45,762.71,751.82,755.98,1415385
2015-11-20,746.53,757.92,743,756.6,2213284
2015-11-19,738.74,742,737.43,738.41,1327109
2015-11-18,727.58,741.41,727,740,1671588
2015-11-17,729.29,731.84,723.03,725.3,1491709
2015-11-16,715.6,729.49,711.33,728.96,1891074
2015-11-13,729.17,731.15,716.73,717,2062982
2015-11-12,731,737.8,728.64,731.23,1668048
2015-11-11,732.46,741,730.23,735.4,1366375
2015-11-10,724.4,730.59,718.5,728.32,1603937
2015-11-09,730.2,734.71,719.43,724.89,2065619
2015-11-06,731.5,735.41,727.01,733.76,1509656
2015-11-05,729.47,739.48,729.47,731.25,1860367
2015-11-04,722,733.1,721.9,728.11,1704575
2015-11-03,718.86,724.65,714.72,722.16,1560770
2015-11-02,711.06,721.62,705.85,721.11,1871073
2015-10-30,715.73,718,710.05,710.81,1903980
2015-10-29,710.5,718.26,710.01,716.92,1454128
2015-10-28,707.33,712.98,703.08,712.95,2176623
2015-10-27,707.38,713.62,704.55,708.49,2224309
2015-10-26,701.55,719.15,701.26,712.78,2701629
2015-10-23,727.5,730,701.5,702,6642504
2015-10-22,646.7,657.8,644.01,651.79,3782103
2015-10-21,654.15,655.87,641.73,642.61,1791099
2015-10-20,664.04,664.72,644.2,650.28,2490016
2015-10-19,661.18,666.82,659.58,666.1,1465339
2015-10-16,664.11,664.97,657.2,662.2,1606138
2015-10-15,654.66,663.13,654.46,661.74,1830524
2015-10-14,653.21,659.39,648.85,651.16,1412040
2015-10-13,643.15,657.81,643.15,652.3,1790704
2015-10-12,642.09,648.5,639.01,646.67,1275206
2015-10-09,640,645.99,635.32,643.61,1645844
2015-10-08,641.36,644.45,625.56,639.16,2180441
2015-10-07,649.24,650.61,632.15,642.36,2089776
2015-10-06,638.84,649.25,636.53,645.44,2166264
2015-10-05,632,643.01,627,641.47,1787880
2015-10-02,607.2,627.34,603.13,626.91,2684805
2015-10-01,608.37,612.09,599.85,611.29,1867601
2015-09-30,603.28,608.76,600.73,608.42,2413441
2015-09-29,597.28,605,590.22,594.97,2310284
2015-09-28,610.34,614.6,589.38,594.89,3127667
2015-09-25,629.77,629.77,611,611.97,2174009
2015-09-24,616.64,627.32,612.4,625.8,2240098
2015-09-23,622.05,628.93,620,622.36,1470949
2015-09-22,627,627.55,615.43,622.69,2562869
2015-09-21,634.4,636.49,625.94,635.44,1788506
2015-09-18,636.79,640,627.02,629.25,5133386
2015-09-17,637.79,650.9,635.02,642.9,2274690
2015-09-16,635.47,637.95,632.32,635.98,1286454
2015-09-15,626.7,638.7,623.78,635.14,2084397
2015-09-14,625.7,625.86,619.43,623.24,1702271
2015-09-11,619.75,625.78,617.42,625.77,1373545
2015-09-10,613.1,624.16,611.43,621.35,1900526
2015-09-09,621.22,626.52,609.6,612.72,1702094
2015-09-08,612.49,616.31,604.12,614.66,2279538
2015-09-04,600,603.47,595.25,600.7,2089453
2015-09-03,617,619.71,602.82,606.25,1759572
2015-09-02,605.59,614.34,599.71,614.34,2575620
2015-09-01,602.36,612.86,594.1,597.79,3702105
2015-08-31,627.54,635.8,617.68,618.25,2176737
2015-08-28,632.82,636.88,624.56,630.38,1978733
2015-08-27,639.4,643.59,622,637.61,3491336
2015-08-26,610.35,631.71,599.05,628.62,4235891
2015-08-25,614.91,617.45,581.11,582.06,3537966
2015-08-24,573,614,565.05,589.61,5770302
2015-08-21,639.78,640.05,612.33,612.48,4265183
2015-08-20,655.46,662.99,642.9,646.83,2855299
2015-08-19,656.6,667,654.19,660.9,2134098
2015-08-18,661.9,664,653.46,656.13,1456059
2015-08-17,656.8,661.38,651.24,660.87,1051699
2015-08-14,655.01,659.86,652.66,657.12,1072061
2015-08-13,659.32,664.5,651.66,656.45,1810749
2015-08-12,663.08,665,652.29,659.56,2940803
2015-08-11,669.2,674.9,654.27,660.78,5029203
2015-08-10,639.48,643.44,631.25,633.73,1809205
2015-08-07,640.23,642.68,629.71,635.3,1403865
2015-08-06,645,645.38,632.25,642.68,1572600
2015-08-05,634.33,647.86,633.16,643.78,2334266
2015-08-04,628.42,634.81,627.16,629.25,1490881
2015-08-03,625.34,633.06,625.34,631.21,1304511
2015-07-31,631.38,632.91,625.5,625.61,1706149
2015-07-30,630,635.22,622.05,632.59,1474203
2015-07-29,628.8,633.36,622.65,631.93,1575069
2015-07-28,632.83,632.83,623.31,628,1727327
2015-07-27,621,634.3,620.5,627.26,2675381
2015-07-24,647,648.17,622.52,623.56,3625747
2015-07-23,661.27,663.63,641,644.28,3029109
2015-07-22,660.89,678.64,659,662.1,3929309
2015-07-21,655.21,673,654.3,662.3,3377196
2015-07-20,659.24,668.88,653.01,663.02,5860872
2015-07-17,649,674.47,645,672.93,11164943
2015-07-16,565.12,580.68,565,579.85,4768318
2015-07-15,560.13,566.5,556.79,560.22,1784554
2015-07-14,546.76,565.85,546.71,561.1,3244066
2015-07-13,532.88,547.11,532.4,546.55,2206475
2015-07-10,526.29,532.56,525.55,530.13,1956682
2015-07-09,523.12,523.77,520.35,520.68,1842347
2015-07-08,521.05,522.73,516.11,516.83,1296699
2015-07-07,523.13,526.18,515.18,525.02,1597229
2015-07-06,519.5,525.25,519,522.86,1280525
2015-07-02,521.08,524.65,521.08,523.4,1235903
2015-07-01,524.73,525.69,518.23,521.84,1961354
2015-06-30,526.02,526.25,520.5,520.51,2235595
2015-06-29,525.01,528.61,520.54,521.52,1937821
2015-06-26,537.26,537.76,531.35,531.69,2109130
2015-06-25,538.87,540.9,535.23,535.23,1335697
2015-06-24,540,540,535.66,537.84,1286608
2015-06-23,539.64,541.5,535.25,540.48,1197450
2015-06-22,539.59,543.74,537.53,538.19,1250282
2015-06-19,537.21,538.25,533.01,536.69,1893497
2015-06-18,531,538.15,530.79,536.73,1833109
2015-06-17,529.37,530.98,525.1,529.26,1294216
2015-06-16,528.4,529.64,525.56,528.15,1071814
2015-06-15,528,528.3,524,527.2,1632702
2015-06-12,531.6,533.12,530.16,532.33,955789
2015-06-11,538.42,538.98,533.02,534.61,1217536
2015-06-10,529.36,538.36,529.35,536.69,1814958
2015-06-09,527.56,529.2,523.01,526.69,1455266
2015-06-08,533.31,534.12,526.24,526.83,1524139
2015-06-05,536.35,537.2,532.52,533.33,1388220
2015-06-04,537.76,540.59,534.32,536.7,1348337
2015-06-03,539.91,543.5,537.11,540.31,1717036
2015-06-02,532.93,543,531.33,539.18,1938989
2015-06-01,536.79,536.79,529.76,533.99,1904332
2015-05-29,537.37,538.63,531.45,532.11,2597407
2015-05-28,538.01,540.61,536.25,539.78,1029849
2015-05-27,532.8,540.55,531.71,539.79,1525019
2015-05-26,538.12,539,529.88,532.32,2406512
2015-05-22,540.15,544.19,539.51,540.11,1176214
2015-05-21,537.95,543.84,535.98,542.51,1462695
2015-05-20,538.49,542.92,532.97,539.27,1430826
2015-05-19,533.98,540.66,533.04,537.36,1966947
2015-05-18,532.01,534.82,528.85,532.3,2003421
2015-05-15,539.18,539.27,530.38,533.85,1971343
2015-05-14,533.77,539,532.41,538.4,1403935
2015-05-13,530.56,534.32,528.66,529.62,1253063
2015-05-12,531.6,533.21,525.26,529.04,1634174
2015-05-11,538.37,541.98,535.4,535.7,905285
2015-05-08,536.65,541.15,536,538.22,1527615
2015-05-07,523.99,533.46,521.75,530.7,1546278
2015-05-06,531.24,532.38,521.08,524.22,1566987
2015-05-05,538.21,539.74,530.39,530.8,1383068
2015-05-04,538.53,544.07,535.06,540.78,1307960
2015-05-01,538.43,539.54,532.1,537.9,1768181
2015-04-30,547.87,548.59,535.05,537.34,2082214
2015-04-29,550.47,553.68,546.9,549.08,1698761
2015-04-28,554.64,556.02,550.37,553.68,1490983
2015-04-27,563.39,565.95,553.2,555.37,2398039
2015-04-24,566.1,571.14,557.25,565.06,4919031
2015-04-23,541,550.96,540.23,547,4173376
2015-04-22,534.4,541.08,531.75,539.36,1589248
2015-04-21,537.51,539.39,533.68,533.97,1839668
2015-04-20,525.6,536.09,524.5,535.38,1675487
2015-04-17,528.66,529.84,521.01,524.05,2145955
2015-04-16,529.9,535.59,529.61,533.8,1296304
2015-04-15,528.7,534.73,523.22,532.53,2312512
2015-04-14,536.25,537.57,528.09,530.39,2597043
2015-04-13,538.41,544.06,537.31,539.17,1640809
2015-04-10,542.29,542.29,537.31,540.01,1405574
2015-04-09,541.03,541.95,535.49,540.78,1553586
2015-04-08,538.38,543.85,538.38,541.61,1175332
2015-04-07,538.08,542.69,536,537.02,1299298
2015-04-06,532.22,538.41,529.57,536.76,1320767
2015-04-02,540.85,540.85,533.85,535.53,1711737
2015-04-01,548.6,551.14,539.5,542.56,1957718
2015-03-31,550,554.71,546.72,548,1583677
2015-03-30,551.62,553.47,548.17,552.03,1283958
2015-03-27,553,555.28,548.13,548.34,1892323
2015-03-26,557.59,558.9,550.65,555.17,1568331
2015-03-25,570.5,572.26,558.74,558.78,2146384
2015-03-24,562.56,574.59,561.21,570.19,2576234
2015-03-23,560.43,562.36,555.83,558.81,1639306
2015-03-20,561.65,561.72,559.05,560.36,2609690
2015-03-19,559.39,560.8,556.14,557.99,1194049
2015-03-18,552.5,559.78,547,559.5,2128714
2015-03-17,551.71,553.8,548,550.84,1800570
2015-03-16,550.95,556.85,546,554.51,1636493
2015-03-13,553.5,558.4,544.22,547.32,1698872
2015-03-12,553.51,556.37,550.46,555.51,1385772
2015-03-11,555.14,558.14,550.68,551.18,1815763
2015-03-10,564.25,564.85,554.73,555.01,1787357
2015-03-09,566.86,570.27,563.54,568.85,1059336
2015-03-06,574.88,576.68,566.76,567.68,1654561
2015-03-05,575.02,577.91,573.41,575.33,1385818
2015-03-04,571.87,577.11,568.01,573.37,1871694
2015-03-03,570.45,575.39,566.52,573.64,1700084
2015-03-02,560.53,572.15,558.75,571.34,2123796
2015-02-27,554.24,564.71,552.9,558.4,2403553
2015-02-26,543.21,556.14,541.5,555.48,2305219
2015-02-25,535.9,546.22,535.44,543.87,1821041
2015-02-24,530,536.79,528.25,536.09,1002393
2015-02-23,536.05,536.44,529.41,531.91,1453907
2015-02-20,543.13,543.75,535.8,538.95,1441212
2015-02-19,538.04,543.11,538.01,542.87,987478
2015-02-18,541.4,545.49,537.51,539.7,1449089
2015-02-17,546.83,550,541.09,542.84,1612439
2015-02-13,543.35,549.91,543.13,549.01,1895126
2015-02-12,537.25,544.82,534.67,542.93,1615824
2015-02-11,535.3,538.45,533.38,535.97,1373970
2015-02-10,529.3,537.7,526.92,536.94,1745076
2015-02-09,528,532,526.02,527.83,1264276
2015-02-06,527.64,537.2,526.41,531,1758650
2015-02-05,523.79,528.5,522.09,527.58,1844687
2015-02-04,529.24,532.67,521.27,522.76,1659125
2015-02-03,528,533.4,523.26,529.24,2033085
2015-02-02,531.73,533,518.55,528.48,2841976
2015-01-30,515.86,539.87,515.52,534.52,5590977
2015-01-29,511,511.09,501.2,510.66,4174924
2015-01-28,522.78,522.99,510,510,1679230
2015-01-27,529.97,530.7,518.19,518.63,1898844
2015-01-26,538.53,539,529.67,535.21,1539524
2015-01-23,535.59,542.17,533,539.95,2275485
2015-01-22,521.48,536.33,519.7,534.39,2669558
2015-01-21,507.25,519.28,506.2,518.04,2262455
2015-01-20,511,512.5,506.02,506.9,2225922
2015-01-16,500.01,508.19,500,508.08,2292043
2015-01-15,505.57,505.68,497.76,501.79,2711355
2015-01-14,494.65,503.23,493,500.87,2229638
2015-01-13,498.84,502.98,492.39,496.18,2365687
2015-01-12,494.94,495.98,487.56,492.55,2320446
2015-01-09,504.76,504.92,494.79,496.17,2065715
2015-01-08,497.99,503.48,491,502.68,3344395
2015-01-07,507,507.24,499.65,501.1,2059366
2015-01-06,515,516.18,501.05,501.96,2891950
2015-01-05,523.26,524.33,513.06,513.87,2054238
2015-01-02,529.01,531.27,524.1,524.81,1446662
